custID,merchant,amount,transaction_date,transaction_unit,job,ratings
60273,Naturals,326,3/14/2020,1,housewife,4
60273,Marks and Spencer,4342,2/26/2020,1,housewife,5
60273,INOX,364,2/16/2020,1,housewife,5
60273,Naturals,410,2/8/2020,1,housewife,3
60273,dominos,560,3/14/2020,1,housewife,5
60273,airtel,454,3/8/2020,1,housewife,3
60273,airtel,406,3/5/2020,1,housewife,1
60273,Naturals,466,2/24/2020,1,housewife,3
60273,airtel,542,2/2/2020,1,housewife,5
60273,airtel,400,2/25/2020,1,housewife,4
60273,INOX,294,2/6/2020,1,housewife,3
60273,BigBazaar,3455,3/28/2020,1,housewife,5
60273,airtel,384,2/7/2020,1,housewife,5
60273,dominos,548,2/9/2020,1,housewife,5
60273,airtel,270,2/26/2020,1,housewife,2
60273,Naturals,250,3/22/2020,1,housewife,5
60273,Naturals,559,3/25/2020,1,housewife,5
60273,airtel,534,2/19/2020,1,housewife,5
60273,dominos,571,3/15/2020,1,housewife,4
